"RefDes","Pattern","X (mm)","Y (mm)","Side","Rotate"
"C1","CAP_0805","16.234","11.589","Top","180.0"
"C2","CAP_0805","25.759","10.954","Top","180.0"
"D4","LED-0603","8.601","3.346","Top","180.0"
"R2","RES_0805","9.684","13.018","Top","0.0"
"R8","RES_0805","8.731","8.89","Top","180.0"
"U1","SOT23-5P95_275X110L40X32N","27.94","17.185","Top","270.0"
"U2","SOT23-5P95_275X110L40X32N","15.875","17.503","Top","270.0"
"U3","SOT23-5P95_275X110L40X32N","15.081","4.168","Top","270.0"
"U4","SOT23-5P95_275X110L40X32N","27.622","5.12","Top","270.0"
"U8","HDR-1x8","35.56","10.954","Top","90.0"
"J2","HDR-1x8","2.223","10.954","Top","90.0"
"H1","HDR-1x2","7.461","18.732","Top","180.0"
