"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotate","Value"
"C1","CAP_0805","CAP_0805","28.258","25.4","Top","180.0","1.0 uf"
"C2","CAP_0805","CAP_0805","28.258","18.098","Top","180.0","1.0 uf"
"C3","CAP_0805","CAP_0805","28.258","11.271","Top","180.0","1.0 uf"
"C4","CAP_0805","CAP_0805","28.258","32.385","Top","180.0","1.0 uf"
"D1","LED-0603","LED-0603","3.004","7.172","Top","270.0",""
"D4","LED-0603","LED-0603","3.188","36.484","Top","90.0",""
"R1","RES_0805","RES_0805","23.019","25.4","Top","180.0","47k"
"R2","RES_0805","RES_0805","23.019","18.098","Top","180.0","47k"
"R3","RES_0805","RES_0805","23.019","11.43","Top","180.0","1k"
"R8","RES_0805","RES_0805","23.019","32.226","Top","180.0","1k"
"U1","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","11.545","11.289","Top","0.0",""
"U2","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","11.545","18.309","Top","0.0",""
"U3","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","11.545","25.329","Top","0.0",""
"U4","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","11.228","32.385","Top","0.0",""
"U5","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","18.045","11.289","Top","0.0",""
"U6","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","18.045","18.309","Top","0.0",""
"U7","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","18.045","25.329","Top","0.0",""
"U8","HDR-1x8","HDR-1x8","34.607","33.337","Top","90.0",""
"U9","74AHCT1G08GV,125","SOT23-5P95_275X110L40X32N","18.045","32.349","Top","0.0",""
"U10","HDR-1x8","HDR-1x8","34.607","11.43","Top","90.0",""
"U11","HDR-1x8","HDR-1x8","3.016","22.225","Top","90.0",""
